"TimeStamp","Container","Name","CPUPerc","MemUsage","MemPerc","NetIO","BlockIO","PIDs"
"2025-03-12 00:40:29","7941f509fee6","hdfs-spark-hive-docker-history-1","0.18%","1011MiB / 23.47GiB","4.21%","22.3MB / 1.32MB","0B / 0B","100"
"2025-03-12 00:40:29","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","0.75%","1.821GiB / 23.47GiB","7.76%","722MB / 390MB","0B / 0B","238"
"2025-03-12 00:40:29","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","0.55%","1.843GiB / 23.47GiB","7.85%","729MB / 445MB","0B / 0B","237"
"2025-03-12 00:40:29","a3d3766552e1","hdfs-spark-hive-docker-master-1","1.23%","2.092GiB / 23.47GiB","8.91%","38.7MB / 676MB","0B / 0B","406"
"2025-03-12 00:40:29","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.01%","62.45MiB / 23.47GiB","0.26%","3.15MB / 3.28MB","0B / 0B","27"
"2025-03-12 00:40:29","ALL","All Containers","2.72%","1,079.21 MB","5.80%","0 MB / 0 MB","0 MB / 0 MB","1008"
"2025-03-12 00:40:40","7941f509fee6","hdfs-spark-hive-docker-history-1","0.38%","1011MiB / 23.47GiB","4.21%","22.3MB / 1.33MB","0B / 0B","100"
"2025-03-12 00:40:40","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","0.41%","1.82GiB / 23.47GiB","7.76%","722MB / 390MB","0B / 0B","237"
"2025-03-12 00:40:40","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","0.43%","1.843GiB / 23.47GiB","7.85%","729MB / 445MB","0B / 0B","237"
"2025-03-12 00:40:40","a3d3766552e1","hdfs-spark-hive-docker-master-1","1.68%","2.533GiB / 23.47GiB","10.79%","38.7MB / 679MB","0B / 0B","485"
"2025-03-12 00:40:40","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.01%","62.45MiB / 23.47GiB","0.26%","3.15MB / 3.28MB","0B / 0B","27"
"2025-03-12 00:40:40","ALL","All Containers","2.91%","1,079.65 MB","6.17%","0 MB / 0 MB","0 MB / 0 MB","1086"
"2025-03-12 00:40:51","7941f509fee6","hdfs-spark-hive-docker-history-1","0.19%","1011MiB / 23.47GiB","4.21%","22.4MB / 1.33MB","0B / 0B","100"
"2025-03-12 00:40:51","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","183.98%","2.428GiB / 23.47GiB","10.34%","725MB / 390MB","0B / 0B","333"
"2025-03-12 00:40:51","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","0.70%","2.105GiB / 23.47GiB","8.97%","732MB / 448MB","0B / 0B","285"
"2025-03-12 00:40:51","a3d3766552e1","hdfs-spark-hive-docker-master-1","4.24%","2.761GiB / 23.47GiB","11.76%","38.8MB / 680MB","0B / 0B","501"
"2025-03-12 00:40:51","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.00%","62.45MiB / 23.47GiB","0.26%","3.15MB / 3.28MB","0B / 0B","27"
"2025-03-12 00:40:51","ALL","All Containers","189.11%","1,080.74 MB","7.11%","0 MB / 0 MB","0 MB / 0 MB","1246"
"2025-03-12 00:41:01","7941f509fee6","hdfs-spark-hive-docker-history-1","0.16%","1011MiB / 23.47GiB","4.21%","22.4MB / 1.33MB","0B / 0B","100"
"2025-03-12 00:41:01","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","0.74%","1.822GiB / 23.47GiB","7.76%","725MB / 390MB","0B / 0B","247"
"2025-03-12 00:41:01","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","0.81%","1.846GiB / 23.47GiB","7.87%","733MB / 448MB","0B / 0B","244"
"2025-03-12 00:41:01","a3d3766552e1","hdfs-spark-hive-docker-master-1","1.23%","2.093GiB / 23.47GiB","8.92%","39MB / 680MB","0B / 0B","410"
"2025-03-12 00:41:01","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.00%","62.46MiB / 23.47GiB","0.26%","3.15MB / 3.28MB","0B / 0B","27"
"2025-03-12 00:41:01","ALL","All Containers","2.94%","1,079.22 MB","5.80%","0 MB / 0 MB","0 MB / 0 MB","1028"
