"TimeStamp","Container","Name","CPUPerc","MemUsage","MemPerc","NetIO","BlockIO","PIDs"
"2025-03-12 00:51:12","7941f509fee6","hdfs-spark-hive-docker-history-1","0.18%","1012MiB / 23.47GiB","4.21%","25.2MB / 1.39MB","0B / 0B","100"
"2025-03-12 00:51:12","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","0.54%","1.823GiB / 23.47GiB","7.77%","733MB / 393MB","0B / 0B","237"
"2025-03-12 00:51:12","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","0.58%","1.848GiB / 23.47GiB","7.87%","741MB / 456MB","0B / 0B","238"
"2025-03-12 00:51:12","a3d3766552e1","hdfs-spark-hive-docker-master-1","1.15%","2.104GiB / 23.47GiB","8.96%","41.3MB / 690MB","0B / 0B","412"
"2025-03-12 00:51:12","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.00%","62.7MiB / 23.47GiB","0.26%","3.5MB / 3.68MB","0B / 0B","27"
"2025-03-12 00:51:12","ALL","All Containers","2.45%","1,080.48 MB","5.81%","0 MB / 0 MB","0 MB / 0 MB","1014"
"2025-03-12 00:51:23","7941f509fee6","hdfs-spark-hive-docker-history-1","0.17%","1012MiB / 23.47GiB","4.21%","25.2MB / 1.39MB","0B / 0B","100"
"2025-03-12 00:51:23","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","0.64%","1.823GiB / 23.47GiB","7.77%","733MB / 393MB","0B / 0B","237"
"2025-03-12 00:51:23","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","0.49%","1.848GiB / 23.47GiB","7.87%","741MB / 456MB","0B / 0B","237"
"2025-03-12 00:51:23","a3d3766552e1","hdfs-spark-hive-docker-master-1","1.14%","2.104GiB / 23.47GiB","8.96%","41.3MB / 690MB","0B / 0B","412"
"2025-03-12 00:51:23","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.01%","62.7MiB / 23.47GiB","0.26%","3.5MB / 3.68MB","0B / 0B","27"
"2025-03-12 00:51:23","ALL","All Containers","2.45%","1,080.48 MB","5.81%","0 MB / 0 MB","0 MB / 0 MB","1013"
"2025-03-12 00:51:34","7941f509fee6","hdfs-spark-hive-docker-history-1","0.17%","1012MiB / 23.47GiB","4.21%","25.2MB / 1.39MB","0B / 0B","100"
"2025-03-12 00:51:34","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","0.53%","1.823GiB / 23.47GiB","7.77%","733MB / 393MB","0B / 0B","237"
"2025-03-12 00:51:34","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","0.45%","1.848GiB / 23.47GiB","7.87%","741MB / 456MB","0B / 0B","237"
"2025-03-12 00:51:34","a3d3766552e1","hdfs-spark-hive-docker-master-1","239.35%","2.434GiB / 23.47GiB","10.37%","41.3MB / 690MB","0B / 0B","485"
"2025-03-12 00:51:34","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.00%","62.7MiB / 23.47GiB","0.26%","3.5MB / 3.68MB","0B / 0B","27"
"2025-03-12 00:51:34","ALL","All Containers","240.50%","1,080.81 MB","6.10%","0 MB / 0 MB","0 MB / 0 MB","1086"
"2025-03-12 00:51:45","7941f509fee6","hdfs-spark-hive-docker-history-1","0.13%","1012MiB / 23.47GiB","4.21%","25.2MB / 1.39MB","0B / 0B","100"
"2025-03-12 00:51:45","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","236.55%","2.077GiB / 23.47GiB","8.85%","736MB / 396MB","0B / 0B","291"
"2025-03-12 00:51:45","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","168.84%","2.502GiB / 23.47GiB","10.66%","744MB / 456MB","0B / 0B","333"
"2025-03-12 00:51:45","a3d3766552e1","hdfs-spark-hive-docker-master-1","236.72%","2.661GiB / 23.47GiB","11.33%","41.4MB / 693MB","0B / 0B","508"
"2025-03-12 00:51:45","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","1.69%","71.59MiB / 23.47GiB","0.30%","3.61MB / 3.83MB","0B / 0B","31"
"2025-03-12 00:51:45","ALL","All Containers","643.93%","1,090.83 MB","7.07%","0 MB / 0 MB","0 MB / 0 MB","1263"
"2025-03-12 00:51:56","7941f509fee6","hdfs-spark-hive-docker-history-1","0.14%","1012MiB / 23.47GiB","4.21%","25.3MB / 1.4MB","0B / 0B","100"
"2025-03-12 00:51:56","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","197.56%","2.324GiB / 23.47GiB","9.90%","737MB / 403MB","0B / 0B","292"
"2025-03-12 00:51:56","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","19.64%","2.164GiB / 23.47GiB","9.22%","745MB / 457MB","0B / 0B","284"
"2025-03-12 00:51:56","a3d3766552e1","hdfs-spark-hive-docker-master-1","0.62%","2.104GiB / 23.47GiB","8.96%","49.6MB / 703MB","0B / 0B","416"
"2025-03-12 00:51:56","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.01%","62.7MiB / 23.47GiB","0.26%","3.63MB / 3.89MB","0B / 0B","27"
"2025-03-12 00:51:56","ALL","All Containers","217.97%","1,081.29 MB","6.51%","0 MB / 0 MB","0 MB / 0 MB","1119"
