"TimeStamp","Container","Name","CPUPerc","MemUsage","MemPerc","NetIO","BlockIO","PIDs"
"2025-03-12 00:54:38","7941f509fee6","hdfs-spark-hive-docker-history-1","0.16%","1012MiB / 23.47GiB","4.21%","27.6MB / 1.43MB","0B / 0B","100"
"2025-03-12 00:54:38","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","0.62%","1.844GiB / 23.47GiB","7.86%","753MB / 413MB","0B / 0B","245"
"2025-03-12 00:54:38","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","0.64%","1.855GiB / 23.47GiB","7.90%","755MB / 461MB","0B / 0B","243"
"2025-03-12 00:54:38","a3d3766552e1","hdfs-spark-hive-docker-master-1","1.21%","2.107GiB / 23.47GiB","8.98%","50.7MB / 711MB","0B / 0B","418"
"2025-03-12 00:54:38","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.00%","62.7MiB / 23.47GiB","0.26%","3.74MB / 4.03MB","0B / 0B","27"
"2025-03-12 00:54:38","ALL","All Containers","2.63%","1,080.51 MB","5.84%","0 MB / 0 MB","0 MB / 0 MB","1033"
"2025-03-12 00:54:49","7941f509fee6","hdfs-spark-hive-docker-history-1","0.39%","1012MiB / 23.47GiB","4.21%","27.6MB / 1.43MB","0B / 0B","100"
"2025-03-12 00:54:49","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","0.57%","1.844GiB / 23.47GiB","7.86%","753MB / 413MB","0B / 0B","245"
"2025-03-12 00:54:49","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","0.55%","1.856GiB / 23.47GiB","7.90%","755MB / 461MB","0B / 0B","243"
"2025-03-12 00:54:49","a3d3766552e1","hdfs-spark-hive-docker-master-1","1.20%","2.109GiB / 23.47GiB","8.98%","50.7MB / 711MB","0B / 0B","418"
"2025-03-12 00:54:49","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.00%","62.7MiB / 23.47GiB","0.26%","3.74MB / 4.03MB","0B / 0B","27"
"2025-03-12 00:54:49","ALL","All Containers","2.71%","1,080.51 MB","5.84%","0 MB / 0 MB","0 MB / 0 MB","1033"
"2025-03-12 00:55:00","7941f509fee6","hdfs-spark-hive-docker-history-1","0.16%","1012MiB / 23.47GiB","4.21%","27.6MB / 1.43MB","0B / 0B","100"
"2025-03-12 00:55:00","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","0.59%","1.844GiB / 23.47GiB","7.85%","753MB / 413MB","0B / 0B","244"
"2025-03-12 00:55:00","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","0.65%","1.855GiB / 23.47GiB","7.90%","755MB / 461MB","0B / 0B","242"
"2025-03-12 00:55:00","a3d3766552e1","hdfs-spark-hive-docker-master-1","96.83%","2.189GiB / 23.47GiB","9.33%","50.8MB / 711MB","0B / 0B","441"
"2025-03-12 00:55:00","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.01%","62.7MiB / 23.47GiB","0.26%","3.74MB / 4.03MB","0B / 0B","27"
"2025-03-12 00:55:00","ALL","All Containers","98.24%","1,080.59 MB","5.91%","0 MB / 0 MB","0 MB / 0 MB","1054"
"2025-03-12 00:55:11","7941f509fee6","hdfs-spark-hive-docker-history-1","0.12%","1012MiB / 23.47GiB","4.21%","27.6MB / 1.43MB","0B / 0B","100"
"2025-03-12 00:55:11","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","75.91%","2.159GiB / 23.47GiB","9.20%","756MB / 413MB","0B / 0B","289"
"2025-03-12 00:55:11","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","203.38%","2.059GiB / 23.47GiB","8.77%","758MB / 463MB","0B / 0B","277"
"2025-03-12 00:55:11","a3d3766552e1","hdfs-spark-hive-docker-master-1","51.23%","2.576GiB / 23.47GiB","10.97%","50.8MB / 714MB","0B / 0B","513"
"2025-03-12 00:55:11","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.00%","62.7MiB / 23.47GiB","0.26%","3.74MB / 4.03MB","0B / 0B","27"
"2025-03-12 00:55:11","ALL","All Containers","330.64%","1,081.49 MB","6.68%","0 MB / 0 MB","0 MB / 0 MB","1206"
"2025-03-12 00:55:21","7941f509fee6","hdfs-spark-hive-docker-history-1","0.12%","1012MiB / 23.47GiB","4.21%","27.7MB / 1.43MB","0B / 0B","100"
"2025-03-12 00:55:21","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","381.29%","2.72GiB / 23.47GiB","11.59%","757MB / 414MB","0B / 0B","334"
"2025-03-12 00:55:21","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","10.56%","1.883GiB / 23.47GiB","8.02%","759MB / 464MB","0B / 0B","244"
"2025-03-12 00:55:21","a3d3766552e1","hdfs-spark-hive-docker-master-1","0.88%","2.109GiB / 23.47GiB","8.99%","51MB / 715MB","0B / 0B","422"
"2025-03-12 00:55:21","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.00%","62.7MiB / 23.47GiB","0.26%","3.74MB / 4.03MB","0B / 0B","27"
"2025-03-12 00:55:21","ALL","All Containers","392.85%","1,081.41 MB","6.61%","0 MB / 0 MB","0 MB / 0 MB","1127"
