"TimeStamp","Container","Name","CPUPerc","MemUsage","MemPerc","NetIO","BlockIO","PIDs"
"2025-03-12 02:48:33","7941f509fee6","hdfs-spark-hive-docker-history-1","0.15%","990.1MiB / 23.47GiB","4.12%","63.1MB / 2.31MB","0B / 0B","100"
"2025-03-12 02:48:33","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","0.53%","1.858GiB / 23.47GiB","7.91%","1.08GB / 660MB","0B / 0B","242"
"2025-03-12 02:48:33","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","0.49%","1.912GiB / 23.47GiB","8.15%","1.05GB / 750MB","0B / 0B","244"
"2025-03-12 02:48:33","a3d3766552e1","hdfs-spark-hive-docker-master-1","0.73%","2.305GiB / 23.47GiB","9.82%","82MB / 864MB","0B / 0B","428"
"2025-03-12 02:48:33","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.01%","62.67MiB / 23.47GiB","0.26%","5.42MB / 6.54MB","0B / 0B","27"
"2025-03-12 02:48:33","ALL","All Containers","1.91%","1,058.85 MB","6.05%","0 MB / 0 MB","0 MB / 0 MB","1041"
"2025-03-12 02:48:44","7941f509fee6","hdfs-spark-hive-docker-history-1","0.12%","990.1MiB / 23.47GiB","4.12%","63.2MB / 2.31MB","0B / 0B","100"
"2025-03-12 02:48:44","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","1.92%","1.858GiB / 23.47GiB","7.91%","1.08GB / 660MB","0B / 0B","241"
"2025-03-12 02:48:44","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","165.39%","2.098GiB / 23.47GiB","8.94%","1.06GB / 752MB","0B / 0B","277"
"2025-03-12 02:48:44","a3d3766552e1","hdfs-spark-hive-docker-master-1","113.05%","2.696GiB / 23.47GiB","11.49%","82.1MB / 867MB","0B / 0B","517"
"2025-03-12 02:48:44","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.01%","62.68MiB / 23.47GiB","0.26%","5.42MB / 6.54MB","0B / 0B","27"
"2025-03-12 02:48:44","ALL","All Containers","280.49%","1,059.43 MB","6.54%","0 MB / 0 MB","0 MB / 0 MB","1162"
"2025-03-12 02:48:55","7941f509fee6","hdfs-spark-hive-docker-history-1","0.11%","990.1MiB / 23.47GiB","4.12%","63.2MB / 2.31MB","0B / 0B","100"
"2025-03-12 02:48:55","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","0.64%","2.129GiB / 23.47GiB","9.07%","1.08GB / 661MB","0B / 0B","286"
"2025-03-12 02:48:55","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","253.38%","2.583GiB / 23.47GiB","11.00%","1.06GB / 752MB","0B / 0B","325"
"2025-03-12 02:48:55","a3d3766552e1","hdfs-spark-hive-docker-master-1","167.78%","2.977GiB / 23.47GiB","12.68%","82.2MB / 867MB","0B / 0B","531"
"2025-03-12 02:48:55","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.00%","62.67MiB / 23.47GiB","0.26%","5.42MB / 6.54MB","0B / 0B","27"
"2025-03-12 02:48:55","ALL","All Containers","421.91%","1,060.46 MB","7.43%","0 MB / 0 MB","0 MB / 0 MB","1269"
"2025-03-12 02:49:06","7941f509fee6","hdfs-spark-hive-docker-history-1","0.16%","990.1MiB / 23.47GiB","4.12%","63.3MB / 2.31MB","0B / 0B","100"
"2025-03-12 02:49:06","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","0.50%","1.862GiB / 23.47GiB","7.93%","1.08GB / 661MB","0B / 0B","246"
"2025-03-12 02:49:06","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","0.47%","1.914GiB / 23.47GiB","8.15%","1.06GB / 754MB","0B / 0B","247"
"2025-03-12 02:49:06","a3d3766552e1","hdfs-spark-hive-docker-master-1","1.17%","2.306GiB / 23.47GiB","9.82%","82.3MB / 868MB","0B / 0B","430"
"2025-03-12 02:49:06","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.00%","62.68MiB / 23.47GiB","0.26%","5.42MB / 6.54MB","0B / 0B","27"
"2025-03-12 02:49:06","ALL","All Containers","2.30%","1,058.86 MB","6.06%","0 MB / 0 MB","0 MB / 0 MB","1050"
