"TimeStamp","Container","Name","CPUPerc","MemUsage","MemPerc","NetIO","BlockIO","PIDs"
"2025-03-12 02:47:15","7941f509fee6","hdfs-spark-hive-docker-history-1","0.20%","990.2MiB / 23.47GiB","4.12%","62MB / 2.29MB","0B / 0B","102"
"2025-03-12 02:47:15","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","0.52%","1.857GiB / 23.47GiB","7.91%","1.07GB / 657MB","0B / 0B","242"
"2025-03-12 02:47:15","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","0.57%","1.911GiB / 23.47GiB","8.14%","1.05GB / 748MB","0B / 0B","244"
"2025-03-12 02:47:15","a3d3766552e1","hdfs-spark-hive-docker-master-1","1.22%","2.304GiB / 23.47GiB","9.81%","81MB / 858MB","0B / 0B","428"
"2025-03-12 02:47:15","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.00%","62.67MiB / 23.47GiB","0.26%","5.28MB / 6.33MB","0B / 0B","27"
"2025-03-12 02:47:15","ALL","All Containers","2.51%","1,058.94 MB","6.05%","0 MB / 0 MB","0 MB / 0 MB","1043"
"2025-03-12 02:47:26","7941f509fee6","hdfs-spark-hive-docker-history-1","0.18%","990.1MiB / 23.47GiB","4.12%","62MB / 2.29MB","0B / 0B","100"
"2025-03-12 02:47:26","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","0.62%","1.857GiB / 23.47GiB","7.91%","1.07GB / 657MB","0B / 0B","241"
"2025-03-12 02:47:26","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","0.40%","1.91GiB / 23.47GiB","8.14%","1.05GB / 748MB","0B / 0B","243"
"2025-03-12 02:47:26","a3d3766552e1","hdfs-spark-hive-docker-master-1","248.14%","2.699GiB / 23.47GiB","11.50%","81MB / 861MB","0B / 0B","504"
"2025-03-12 02:47:26","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.00%","62.67MiB / 23.47GiB","0.26%","5.28MB / 6.33MB","0B / 0B","27"
"2025-03-12 02:47:26","ALL","All Containers","249.34%","1,059.24 MB","6.39%","0 MB / 0 MB","0 MB / 0 MB","1115"
"2025-03-12 02:47:38","7941f509fee6","hdfs-spark-hive-docker-history-1","0.14%","990.1MiB / 23.47GiB","4.12%","62MB / 2.3MB","0B / 0B","100"
"2025-03-12 02:47:38","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","214.83%","2.104GiB / 23.47GiB","8.96%","1.07GB / 659MB","0B / 0B","291"
"2025-03-12 02:47:38","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","3.03%","2.51GiB / 23.47GiB","10.69%","1.05GB / 748MB","0B / 0B","333"
"2025-03-12 02:47:38","a3d3766552e1","hdfs-spark-hive-docker-master-1","224.84%","2.944GiB / 23.47GiB","12.54%","81.1MB / 861MB","0B / 0B","523"
"2025-03-12 02:47:38","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.00%","71.2MiB / 23.47GiB","0.30%","5.37MB / 6.41MB","0B / 0B","31"
"2025-03-12 02:47:38","ALL","All Containers","442.84%","1,068.86 MB","7.32%","0 MB / 0 MB","0 MB / 0 MB","1278"
"2025-03-12 02:47:49","7941f509fee6","hdfs-spark-hive-docker-history-1","0.16%","990.1MiB / 23.47GiB","4.12%","62.1MB / 2.3MB","0B / 0B","100"
"2025-03-12 02:47:49","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","169.00%","2.349GiB / 23.47GiB","10.01%","1.08GB / 660MB","0B / 0B","290"
"2025-03-12 02:47:49","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","19.29%","2.239GiB / 23.47GiB","9.54%","1.05GB / 749MB","0B / 0B","283"
"2025-03-12 02:47:49","a3d3766552e1","hdfs-spark-hive-docker-master-1","1.12%","2.305GiB / 23.47GiB","9.82%","82MB / 864MB","0B / 0B","430"
"2025-03-12 02:47:49","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.01%","62.67MiB / 23.47GiB","0.26%","5.42MB / 6.54MB","0B / 0B","27"
"2025-03-12 02:47:49","ALL","All Containers","189.58%","1,059.66 MB","6.75%","0 MB / 0 MB","0 MB / 0 MB","1130"
