"TimeStamp","Container","Name","CPUPerc","MemUsage","MemPerc","NetIO","BlockIO","PIDs"
"2025-03-12 14:10:43","7941f509fee6","hdfs-spark-hive-docker-history-1","0.49%","899.6MiB / 23.47GiB","3.74%","60.9MB / 409kB","0B / 0B","100"
"2025-03-12 14:10:43","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","1.45%","2.666GiB / 23.47GiB","11.36%","2.34GB / 1.39GB","0B / 0B","237"
"2025-03-12 14:10:43","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","0.43%","2.68GiB / 23.47GiB","11.42%","2.38GB / 1.28GB","0B / 0B","237"
"2025-03-12 14:10:43","a3d3766552e1","hdfs-spark-hive-docker-master-1","0.97%","2.228GiB / 23.47GiB","9.49%","20.2MB / 2.13GB","0B / 0B","411"
"2025-03-12 14:10:43","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.00%","95.23MiB / 23.47GiB","0.40%","1.5MB / 1.74MB","0B / 0B","47"
"2025-03-12 14:10:43","ALL","All Containers","3.34%","1,002.40 MB","7.28%","0 MB / 0 MB","0 MB / 0 MB","1032"
"2025-03-12 14:10:54","7941f509fee6","hdfs-spark-hive-docker-history-1","0.12%","899.5MiB / 23.47GiB","3.74%","60.9MB / 409kB","0B / 0B","100"
"2025-03-12 14:10:54","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","2.79%","2.666GiB / 23.47GiB","11.36%","2.34GB / 1.39GB","0B / 0B","237"
"2025-03-12 14:10:54","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","0.44%","2.68GiB / 23.47GiB","11.42%","2.38GB / 1.28GB","0B / 0B","237"
"2025-03-12 14:10:54","a3d3766552e1","hdfs-spark-hive-docker-master-1","236.61%","2.564GiB / 23.47GiB","10.92%","20.2MB / 2.13GB","0B / 0B","486"
"2025-03-12 14:10:54","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.00%","95.23MiB / 23.47GiB","0.40%","1.5MB / 1.74MB","0B / 0B","47"
"2025-03-12 14:10:54","ALL","All Containers","239.96%","1,002.64 MB","7.57%","0 MB / 0 MB","0 MB / 0 MB","1107"
"2025-03-12 14:11:05","7941f509fee6","hdfs-spark-hive-docker-history-1","0.14%","899.9MiB / 23.47GiB","3.74%","60.9MB / 410kB","0B / 0B","100"
"2025-03-12 14:11:05","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","228.99%","2.885GiB / 23.47GiB","12.29%","2.34GB / 1.39GB","0B / 0B","279"
"2025-03-12 14:11:05","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","20.10%","3.279GiB / 23.47GiB","13.97%","2.38GB / 1.28GB","0B / 0B","333"
"2025-03-12 14:11:05","a3d3766552e1","hdfs-spark-hive-docker-master-1","219.02%","2.83GiB / 23.47GiB","12.06%","20.3MB / 2.13GB","0B / 0B","506"
"2025-03-12 14:11:05","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.00%","95.23MiB / 23.47GiB","0.40%","1.5MB / 1.74MB","0B / 0B","47"
"2025-03-12 14:11:05","ALL","All Containers","468.25%","1,004.12 MB","8.49%","0 MB / 0 MB","0 MB / 0 MB","1265"
"2025-03-12 14:11:16","7941f509fee6","hdfs-spark-hive-docker-history-1","0.13%","899.9MiB / 23.47GiB","3.74%","61MB / 414kB","0B / 0B","100"
"2025-03-12 14:11:16","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","168.59%","3.659GiB / 23.47GiB","15.59%","2.34GB / 1.39GB","0B / 0B","288"
"2025-03-12 14:11:16","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","114.56%","3.844GiB / 23.47GiB","16.38%","2.38GB / 1.28GB","0B / 0B","327"
"2025-03-12 14:11:16","a3d3766552e1","hdfs-spark-hive-docker-master-1","3.65%","2.82GiB / 23.47GiB","12.01%","20.3MB / 2.13GB","0B / 0B","509"
"2025-03-12 14:11:16","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.00%","95.23MiB / 23.47GiB","0.40%","1.5MB / 1.74MB","0B / 0B","47"
"2025-03-12 14:11:16","ALL","All Containers","286.93%","1,005.45 MB","9.62%","0 MB / 0 MB","0 MB / 0 MB","1271"
"2025-03-12 14:11:27","7941f509fee6","hdfs-spark-hive-docker-history-1","0.13%","899.9MiB / 23.47GiB","3.74%","61MB / 415kB","0B / 0B","100"
"2025-03-12 14:11:27","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","103.48%","3.658GiB / 23.47GiB","15.58%","2.34GB / 1.39GB","0B / 0B","287"
"2025-03-12 14:11:27","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","104.29%","3.987GiB / 23.47GiB","16.98%","2.38GB / 1.28GB","0B / 0B","326"
"2025-03-12 14:11:27","a3d3766552e1","hdfs-spark-hive-docker-master-1","4.83%","2.82GiB / 23.47GiB","12.01%","20.4MB / 2.13GB","0B / 0B","510"
"2025-03-12 14:11:27","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.14%","95.23MiB / 23.47GiB","0.40%","1.5MB / 1.74MB","0B / 0B","47"
"2025-03-12 14:11:27","ALL","All Containers","212.87%","1,005.60 MB","9.74%","0 MB / 0 MB","0 MB / 0 MB","1270"
"2025-03-12 14:11:38","7941f509fee6","hdfs-spark-hive-docker-history-1","0.13%","900MiB / 23.47GiB","3.74%","61.1MB / 417kB","0B / 0B","100"
"2025-03-12 14:11:38","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","104.53%","3.832GiB / 23.47GiB","16.32%","2.34GB / 1.39GB","0B / 0B","289"
"2025-03-12 14:11:38","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","103.72%","4.106GiB / 23.47GiB","17.49%","2.38GB / 1.29GB","0B / 0B","330"
"2025-03-12 14:11:38","a3d3766552e1","hdfs-spark-hive-docker-master-1","5.03%","2.89GiB / 23.47GiB","12.31%","20.5MB / 2.13GB","0B / 0B","523"
"2025-03-12 14:11:38","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.01%","95.23MiB / 23.47GiB","0.40%","1.5MB / 1.74MB","0B / 0B","47"
"2025-03-12 14:11:38","ALL","All Containers","213.42%","1,006.06 MB","10.05%","0 MB / 0 MB","0 MB / 0 MB","1289"
"2025-03-12 14:11:49","7941f509fee6","hdfs-spark-hive-docker-history-1","0.11%","901.9MiB / 23.47GiB","3.75%","61.1MB / 419kB","0B / 0B","100"
