TimeStamp,Container,Name,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
2025-03-12 00:49:25,7941f509fee6,hdfs-spark-hive-docker-history-1,0.09%,1012MiB / 23.47GiB,4.21%,24.3MB / 1.38MB,0B / 0B,100
2025-03-12 00:49:25,ec0defcd48e4,hdfs-spark-hive-docker-worker1-1,0.27%,1.822GiB / 23.47GiB,7.76%,729MB / 392MB,0B / 0B,237
2025-03-12 00:49:25,13bff8c591b1,hdfs-spark-hive-docker-worker2-1,0.32%,1.847GiB / 23.47GiB,7.87%,737MB / 452MB,0B / 0B,237
2025-03-12 00:49:25,a3d3766552e1,hdfs-spark-hive-docker-master-1,0.56%,2.094GiB / 23.47GiB,8.92%,40MB / 684MB,0B / 0B,410
2025-03-12 00:49:25,51fe5cb98b94,hdfs-spark-hive-docker-metastore-1,0.00%,62.7MiB / 23.47GiB,0.26%,3.15MB / 3.28MB,0B / 0B,27
2025-03-12 00:49:25,ALL,All Containers,1.24%,6.81GiB / 23.47GiB,29.03%,1.53GB / 1.53GB,0B / 0B,1011
2025-03-12 00:49:36,7941f509fee6,hdfs-spark-hive-docker-history-1,0.15%,1012MiB / 23.47GiB,4.21%,24.3MB / 1.38MB,0B / 0B,100
2025-03-12 00:49:36,ec0defcd48e4,hdfs-spark-hive-docker-worker1-1,0.34%,1.822GiB / 23.47GiB,7.76%,729MB / 392MB,0B / 0B,237
2025-03-12 00:49:36,13bff8c591b1,hdfs-spark-hive-docker-worker2-1,0.41%,1.847GiB / 23.47GiB,7.87%,737MB / 452MB,0B / 0B,237
2025-03-12 00:49:36,a3d3766552e1,hdfs-spark-hive-docker-master-1,1.64%,2.53GiB / 23.47GiB,10.78%,40.1MB / 687MB,0B / 0B,489
2025-03-12 00:49:36,51fe5cb98b94,hdfs-spark-hive-docker-metastore-1,0.00%,62.7MiB / 23.47GiB,0.26%,3.15MB / 3.28MB,0B / 0B,27
2025-03-12 00:49:36,ALL,All Containers,2.54%,7.25GiB / 23.47GiB,30.88%,1.53GB / 1.54GB,0B / 0B,1090
2025-03-12 00:49:47,7941f509fee6,hdfs-spark-hive-docker-history-1,0.14%,1012MiB / 23.47GiB,4.21%,24.3MB / 1.38MB,0B / 0B,100
2025-03-12 00:49:47,ec0defcd48e4,hdfs-spark-hive-docker-worker1-1,141.01%,2.433GiB / 23.47GiB,10.36%,732MB / 392MB,0B / 0B,333
2025-03-12 00:49:47,13bff8c591b1,hdfs-spark-hive-docker-worker2-1,0.62%,2.107GiB / 23.47GiB,8.98%,740MB / 455MB,0B / 0B,286
2025-03-12 00:49:47,a3d3766552e1,hdfs-spark-hive-docker-master-1,302.21%,2.821GiB / 23.47GiB,12.02%,40.2MB / 688MB,0B / 0B,509
2025-03-12 00:49:47,51fe5cb98b94,hdfs-spark-hive-docker-metastore-1,0.00%,71.57MiB / 23.47GiB,0.30%,3.26MB / 3.43MB,0B / 0B,31
2025-03-12 00:49:47,ALL,All Containers,443.98%,8.42GiB / 23.47GiB,35.87%,1.54GB / 1.54GB,0B / 0B,1259
2025-03-12 00:49:58,7941f509fee6,hdfs-spark-hive-docker-history-1,0.13%,1012MiB / 23.47GiB,4.21%,24.4MB / 1.38MB,0B / 0B,100
2025-03-12 00:49:58,ec0defcd48e4,hdfs-spark-hive-docker-worker1-1,29.99%,1.824GiB / 23.47GiB,7.77%,733MB / 393MB,0B / 0B,246
2025-03-12 00:49:58,13bff8c591b1,hdfs-spark-hive-docker-worker2-1,0.55%,1.849GiB / 23.47GiB,7.88%,741MB / 456MB,0B / 0B,246
2025-03-12 00:49:58,a3d3766552e1,hdfs-spark-hive-docker-master-1,1.08%,2.094GiB / 23.47GiB,8.92%,40.9MB / 689MB,0B / 0B,414
2025-03-12 00:49:58,51fe5cb98b94,hdfs-spark-hive-docker-metastore-1,0.01%,62.71MiB / 23.47GiB,0.26%,3.26MB / 3.43MB,0B / 0B,27
2025-03-12 00:49:58,ALL,All Containers,31.76%,6.82GiB / 23.47GiB,29.04%,1.54GB / 1.54GB,0B / 0B,1033
