"TimeStamp","Container","Name","CPUPerc","MemUsage","MemPerc","NetIO","BlockIO","PIDs"
"2025-03-12 02:03:28","7941f509fee6","hdfs-spark-hive-docker-history-1","0.13%","1004MiB / 23.47GiB","4.18%","48MB / 2.01MB","0B / 0B","100"
"2025-03-12 02:03:28","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","0.30%","1.866GiB / 23.47GiB","7.95%","916MB / 488MB","0B / 0B","237"
"2025-03-12 02:03:28","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","0.36%","1.955GiB / 23.47GiB","8.33%","867MB / 607MB","0B / 0B","237"
"2025-03-12 02:03:28","a3d3766552e1","hdfs-spark-hive-docker-master-1","0.63%","2.224GiB / 23.47GiB","9.47%","71.8MB / 807MB","0B / 0B","429"
"2025-03-12 02:03:28","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.00%","61.92MiB / 23.47GiB","0.26%","4.99MB / 5.88MB","0B / 0B","27"
"2025-03-12 02:03:28","ALL","All Containers","1.42%","1,071.97 MB","6.04%","0 MB / 0 MB","0 MB / 0 MB","1030"
"2025-03-12 02:03:39","7941f509fee6","hdfs-spark-hive-docker-history-1","0.11%","1004MiB / 23.47GiB","4.18%","48MB / 2.01MB","0B / 0B","100"
"2025-03-12 02:03:39","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","2.31%","1.866GiB / 23.47GiB","7.95%","919MB / 488MB","0B / 0B","237"
"2025-03-12 02:03:39","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","0.48%","1.956GiB / 23.47GiB","8.33%","870MB / 609MB","0B / 0B","237"
"2025-03-12 02:03:39","a3d3766552e1","hdfs-spark-hive-docker-master-1","93.71%","2.615GiB / 23.47GiB","11.14%","71.9MB / 810MB","0B / 0B","516"
"2025-03-12 02:03:39","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.00%","61.91MiB / 23.47GiB","0.26%","4.99MB / 5.88MB","0B / 0B","27"
"2025-03-12 02:03:39","ALL","All Containers","96.61%","1,072.35 MB","6.37%","0 MB / 0 MB","0 MB / 0 MB","1117"
"2025-03-12 02:03:50","7941f509fee6","hdfs-spark-hive-docker-history-1","0.13%","1004MiB / 23.47GiB","4.18%","48MB / 2.01MB","0B / 0B","100"
"2025-03-12 02:03:50","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","39.55%","2.473GiB / 23.47GiB","10.54%","919MB / 488MB","0B / 0B","326"
"2025-03-12 02:03:50","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","242.56%","2.37GiB / 23.47GiB","10.10%","870MB / 609MB","0B / 0B","293"
"2025-03-12 02:03:50","a3d3766552e1","hdfs-spark-hive-docker-master-1","2.32%","2.822GiB / 23.47GiB","12.02%","71.9MB / 810MB","0B / 0B","521"
"2025-03-12 02:03:50","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.00%","61.93MiB / 23.47GiB","0.26%","4.99MB / 5.88MB","0B / 0B","27"
"2025-03-12 02:03:50","ALL","All Containers","284.56%","1,073.60 MB","7.42%","0 MB / 0 MB","0 MB / 0 MB","1267"
"2025-03-12 02:04:01","7941f509fee6","hdfs-spark-hive-docker-history-1","0.97%","1004MiB / 23.47GiB","4.18%","48.1MB / 2.01MB","0B / 0B","100"
"2025-03-12 02:04:01","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","143.27%","3.144GiB / 23.47GiB","13.39%","920MB / 488MB","0B / 0B","330"
"2025-03-12 02:04:01","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","107.87%","2.947GiB / 23.47GiB","12.55%","871MB / 610MB","0B / 0B","293"
"2025-03-12 02:04:01","a3d3766552e1","hdfs-spark-hive-docker-master-1","1.60%","2.868GiB / 23.47GiB","12.22%","72MB / 811MB","0B / 0B","538"
"2025-03-12 02:04:01","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.01%","61.93MiB / 23.47GiB","0.26%","5MB / 5.89MB","0B / 0B","27"
"2025-03-12 02:04:01","ALL","All Containers","253.72%","1,074.89 MB","8.52%","0 MB / 0 MB","0 MB / 0 MB","1288"
"2025-03-12 02:04:13","7941f509fee6","hdfs-spark-hive-docker-history-1","0.14%","1004MiB / 23.47GiB","4.18%","49.1MB / 2.02MB","0B / 0B","100"
"2025-03-12 02:04:13","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","0.39%","1.982GiB / 23.47GiB","8.44%","922MB / 490MB","0B / 0B","245"
"2025-03-12 02:04:13","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","0.57%","2.068GiB / 23.47GiB","8.81%","873MB / 613MB","0B / 0B","244"
"2025-03-12 02:04:13","a3d3766552e1","hdfs-spark-hive-docker-master-1","0.88%","2.228GiB / 23.47GiB","9.49%","72.1MB / 811MB","0B / 0B","429"
"2025-03-12 02:04:13","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.00%","61.93MiB / 23.47GiB","0.26%","5MB / 5.89MB","0B / 0B","27"
"2025-03-12 02:04:13","ALL","All Containers","1.98%","1,072.21 MB","6.24%","0 MB / 0 MB","0 MB / 0 MB","1045"
