"TimeStamp","Container","Name","CPUPerc","MemUsage","MemPerc","NetIO","BlockIO","PIDs"
"2025-03-12 02:06:47","7941f509fee6","hdfs-spark-hive-docker-history-1","0.19%","1002MiB / 23.47GiB","4.17%","52.4MB / 2.05MB","0B / 0B","100"
"2025-03-12 02:06:47","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","0.56%","2.3GiB / 23.47GiB","9.80%","939MB / 503MB","0B / 0B","242"
"2025-03-12 02:06:47","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","0.60%","2.393GiB / 23.47GiB","10.20%","890MB / 628MB","0B / 0B","244"
"2025-03-12 02:06:47","a3d3766552e1","hdfs-spark-hive-docker-master-1","1.07%","2.235GiB / 23.47GiB","9.52%","73.6MB / 821MB","0B / 0B","426"
"2025-03-12 02:06:47","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.00%","61.96MiB / 23.47GiB","0.26%","5MB / 5.89MB","0B / 0B","27"
"2025-03-12 02:06:47","ALL","All Containers","2.42%","1,070.89 MB","6.79%","0 MB / 0 MB","0 MB / 0 MB","1039"
"2025-03-12 02:06:58","7941f509fee6","hdfs-spark-hive-docker-history-1","0.14%","1002MiB / 23.47GiB","4.17%","52.4MB / 2.05MB","0B / 0B","100"
"2025-03-12 02:06:58","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","1.97%","2.3GiB / 23.47GiB","9.80%","942MB / 506MB","0B / 0B","242"
"2025-03-12 02:06:58","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","209.39%","2.607GiB / 23.47GiB","11.11%","893MB / 629MB","0B / 0B","278"
"2025-03-12 02:06:58","a3d3766552e1","hdfs-spark-hive-docker-master-1","101.35%","2.633GiB / 23.47GiB","11.22%","73.6MB / 824MB","0B / 0B","515"
"2025-03-12 02:06:58","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.00%","61.96MiB / 23.47GiB","0.26%","5MB / 5.89MB","0B / 0B","27"
"2025-03-12 02:06:58","ALL","All Containers","312.85%","1,071.50 MB","7.31%","0 MB / 0 MB","0 MB / 0 MB","1162"
"2025-03-12 02:07:09","7941f509fee6","hdfs-spark-hive-docker-history-1","0.12%","1002MiB / 23.47GiB","4.17%","52.4MB / 2.05MB","0B / 0B","100"
"2025-03-12 02:07:09","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","218.33%","2.658GiB / 23.47GiB","11.32%","942MB / 506MB","0B / 0B","288"
"2025-03-12 02:07:09","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","205.13%","3.148GiB / 23.47GiB","13.41%","893MB / 629MB","0B / 0B","327"
