"TimeStamp","Container","Name","CPUPerc","MemUsage","MemPerc","NetIO","BlockIO","PIDs"
"2025-03-12 01:34:01","7941f509fee6","hdfs-spark-hive-docker-history-1","0.18%","1011MiB / 23.47GiB","4.21%","44.4MB / 1.71MB","0B / 0B","100"
"2025-03-12 01:34:01","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","0.57%","1.783GiB / 23.47GiB","7.59%","880MB / 469MB","0B / 0B","238"
"2025-03-12 01:34:01","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","0.61%","1.841GiB / 23.47GiB","7.84%","844MB / 573MB","0B / 0B","237"
"2025-03-12 01:34:01","a3d3766552e1","hdfs-spark-hive-docker-master-1","1.13%","2.107GiB / 23.47GiB","8.98%","65MB / 790MB","0B / 0B","428"
"2025-03-12 01:34:01","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.40%","61.8MiB / 23.47GiB","0.26%","4.71MB / 5.43MB","0B / 0B","27"
"2025-03-12 01:34:01","ALL","All Containers","2.89%","1,078.53 MB","5.78%","0 MB / 0 MB","0 MB / 0 MB","1030"
"2025-03-12 01:34:11","7941f509fee6","hdfs-spark-hive-docker-history-1","0.17%","1011MiB / 23.47GiB","4.21%","44.4MB / 1.71MB","0B / 0B","100"
"2025-03-12 01:34:11","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","0.41%","1.783GiB / 23.47GiB","7.59%","880MB / 469MB","0B / 0B","237"
"2025-03-12 01:34:11","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","73.63%","1.878GiB / 23.47GiB","8.00%","847MB / 573MB","0B / 0B","276"
"2025-03-12 01:34:11","a3d3766552e1","hdfs-spark-hive-docker-master-1","1.77%","2.551GiB / 23.47GiB","10.87%","65MB / 793MB","0B / 0B","506"
"2025-03-12 01:34:11","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.00%","61.66MiB / 23.47GiB","0.26%","4.71MB / 5.44MB","0B / 0B","27"
"2025-03-12 01:34:11","ALL","All Containers","75.98%","1,078.87 MB","6.19%","0 MB / 0 MB","0 MB / 0 MB","1146"
"2025-03-12 01:34:22","7941f509fee6","hdfs-spark-hive-docker-history-1","0.15%","1011MiB / 23.47GiB","4.21%","44.4MB / 1.72MB","0B / 0B","100"
