"TimeStamp","Container","Name","CPUPerc","MemUsage","MemPerc","NetIO","BlockIO","PIDs"
"2025-03-12 01:32:07","7941f509fee6","hdfs-spark-hive-docker-history-1","0.19%","1011MiB / 23.47GiB","4.21%","43MB / 1.69MB","0B / 0B","100"
"2025-03-12 01:32:07","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","0.62%","1.765GiB / 23.47GiB","7.52%","876MB / 467MB","0B / 0B","237"
"2025-03-12 01:32:07","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","0.58%","1.801GiB / 23.47GiB","7.67%","839MB / 569MB","0B / 0B","237"
"2025-03-12 01:32:07","a3d3766552e1","hdfs-spark-hive-docker-master-1","1.31%","2.063GiB / 23.47GiB","8.79%","63.3MB / 783MB","0B / 0B","425"
"2025-03-12 01:32:07","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.01%","60.78MiB / 23.47GiB","0.25%","4.56MB / 5.21MB","0B / 0B","27"
"2025-03-12 01:32:07","ALL","All Containers","2.71%","1,077.41 MB","5.69%","0 MB / 0 MB","0 MB / 0 MB","1026"
"2025-03-12 01:32:18","7941f509fee6","hdfs-spark-hive-docker-history-1","0.71%","1011MiB / 23.47GiB","4.21%","43.1MB / 1.7MB","0B / 0B","102"
"2025-03-12 01:32:18","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","0.37%","1.765GiB / 23.47GiB","7.52%","876MB / 467MB","0B / 0B","237"
"2025-03-12 01:32:18","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","31.58%","1.816GiB / 23.47GiB","7.74%","842MB / 572MB","0B / 0B","255"
"2025-03-12 01:32:18","a3d3766552e1","hdfs-spark-hive-docker-master-1","1.42%","2.437GiB / 23.47GiB","10.38%","63.3MB / 786MB","0B / 0B","503"
"2025-03-12 01:32:18","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.00%","60.75MiB / 23.47GiB","0.25%","4.56MB / 5.21MB","0B / 0B","27"
"2025-03-12 01:32:18","ALL","All Containers","34.08%","1,077.77 MB","6.02%","0 MB / 0 MB","0 MB / 0 MB","1124"
"2025-03-12 01:32:29","7941f509fee6","hdfs-spark-hive-docker-history-1","2.12%","1011MiB / 23.47GiB","4.21%","43.2MB / 1.7MB","0B / 0B","100"
"2025-03-12 01:32:29","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","55.60%","2.043GiB / 23.47GiB","8.70%","879MB / 467MB","0B / 0B","295"
"2025-03-12 01:32:29","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","0.98%","2.401GiB / 23.47GiB","10.23%","842MB / 572MB","0B / 0B","323"
"2025-03-12 01:32:29","a3d3766552e1","hdfs-spark-hive-docker-master-1","209.42%","2.767GiB / 23.47GiB","11.79%","63.4MB / 787MB","0B / 0B","523"
"2025-03-12 01:32:29","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.00%","69.79MiB / 23.47GiB","0.29%","4.67MB / 5.35MB","0B / 0B","31"
"2025-03-12 01:32:29","ALL","All Containers","268.12%","1,088.00 MB","7.04%","0 MB / 0 MB","0 MB / 0 MB","1272"
"2025-03-12 01:32:40","7941f509fee6","hdfs-spark-hive-docker-history-1","0.13%","1011MiB / 23.47GiB","4.21%","43.2MB / 1.7MB","0B / 0B","100"
"2025-03-12 01:32:40","ec0defcd48e4","hdfs-spark-hive-docker-worker1-1","119.81%","2.31GiB / 23.47GiB","9.84%","880MB / 467MB","0B / 0B","290"
"2025-03-12 01:32:40","13bff8c591b1","hdfs-spark-hive-docker-worker2-1","101.51%","2.731GiB / 23.47GiB","11.63%","844MB / 573MB","0B / 0B","354"
"2025-03-12 01:32:40","a3d3766552e1","hdfs-spark-hive-docker-master-1","3.31%","2.097GiB / 23.47GiB","8.93%","64.9MB / 790MB","0B / 0B","429"
"2025-03-12 01:32:40","51fe5cb98b94","hdfs-spark-hive-docker-metastore-1","0.00%","61.7MiB / 23.47GiB","0.26%","4.7MB / 5.42MB","0B / 0B","27"
"2025-03-12 01:32:40","ALL","All Containers","224.76%","1,079.84 MB","6.97%","0 MB / 0 MB","0 MB / 0 MB","1200"
