TimeStamp,Container,Name,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
2025-03-12 00:38:36,7941f509fee6,hdfs-spark-hive-docker-history-1,0.24%,1011MiB / 23.47GiB,4.21%,21.6MB / 1.31MB,0B / 0B,100
2025-03-12 00:38:36,ec0defcd48e4,hdfs-spark-hive-docker-worker1-1,1.02%,1.82GiB / 23.47GiB,7.75%,719MB / 386MB,0B / 0B,243
2025-03-12 00:38:36,13bff8c591b1,hdfs-spark-hive-docker-worker2-1,0.55%,1.842GiB / 23.47GiB,7.85%,726MB / 444MB,0B / 0B,245
2025-03-12 00:38:36,a3d3766552e1,hdfs-spark-hive-docker-master-1,1.22%,2.092GiB / 23.47GiB,8.91%,38.4MB / 673MB,0B / 0B,403
2025-03-12 00:38:36,51fe5cb98b94,hdfs-spark-hive-docker-metastore-1,0.00%,61.73MiB / 23.47GiB,0.26%,3.15MB / 3.28MB,0B / 0B,27
2025-03-12 00:38:36,ALL,All Containers,3.03%,6.80GiB / 23.47GiB,28.98%,1.51GB / 1.51GB,0B / 0B,1018
2025-03-12 00:38:47,7941f509fee6,hdfs-spark-hive-docker-history-1,0.13%,1011MiB / 23.47GiB,4.21%,21.6MB / 1.31MB,0B / 0B,102
2025-03-12 00:38:47,ec0defcd48e4,hdfs-spark-hive-docker-worker1-1,2.20%,1.82GiB / 23.47GiB,7.75%,721MB / 389MB,0B / 0B,243
2025-03-12 00:38:47,13bff8c591b1,hdfs-spark-hive-docker-worker2-1,0.43%,1.842GiB / 23.47GiB,7.85%,729MB / 444MB,0B / 0B,245
2025-03-12 00:38:47,a3d3766552e1,hdfs-spark-hive-docker-master-1,117.32%,2.483GiB / 23.47GiB,10.58%,38.5MB / 676MB,0B / 0B,494
2025-03-12 00:38:47,51fe5cb98b94,hdfs-spark-hive-docker-metastore-1,0.00%,62.45MiB / 23.47GiB,0.26%,3.15MB / 3.28MB,0B / 0B,27
2025-03-12 00:38:47,ALL,All Containers,120.08%,7.19GiB / 23.47GiB,30.65%,1.51GB / 1.51GB,0B / 0B,1111
2025-03-12 00:38:58,7941f509fee6,hdfs-spark-hive-docker-history-1,0.15%,1011MiB / 23.47GiB,4.21%,21.7MB / 1.31MB,0B / 0B,100
2025-03-12 00:38:58,ec0defcd48e4,hdfs-spark-hive-docker-worker1-1,1.33%,2.412GiB / 23.47GiB,10.27%,722MB / 389MB,0B / 0B,326
2025-03-12 00:38:58,13bff8c591b1,hdfs-spark-hive-docker-worker2-1,237.49%,2.209GiB / 23.47GiB,9.41%,729MB / 444MB,0B / 0B,295
2025-03-12 00:38:58,a3d3766552e1,hdfs-spark-hive-docker-master-1,152.83%,2.751GiB / 23.47GiB,11.72%,38.6MB / 676MB,0B / 0B,523
2025-03-12 00:38:58,51fe5cb98b94,hdfs-spark-hive-docker-metastore-1,0.00%,62.45MiB / 23.47GiB,0.26%,3.15MB / 3.28MB,0B / 0B,27
2025-03-12 00:38:58,ALL,All Containers,391.80%,8.42GiB / 23.47GiB,35.88%,1.51GB / 1.51GB,0B / 0B,1271
2025-03-12 00:39:08,7941f509fee6,hdfs-spark-hive-docker-history-1,0.15%,1011MiB / 23.47GiB,4.21%,21.7MB / 1.31MB,0B / 0B,100
2025-03-12 00:39:08,ec0defcd48e4,hdfs-spark-hive-docker-worker1-1,0.46%,1.821GiB / 23.47GiB,7.76%,722MB / 389MB,0B / 0B,247
2025-03-12 00:39:08,13bff8c591b1,hdfs-spark-hive-docker-worker2-1,0.53%,1.844GiB / 23.47GiB,7.85%,729MB / 445MB,0B / 0B,248
2025-03-12 00:39:08,a3d3766552e1,hdfs-spark-hive-docker-master-1,0.84%,2.093GiB / 23.47GiB,8.91%,38.6MB / 676MB,0B / 0B,408
2025-03-12 00:39:08,51fe5cb98b94,hdfs-spark-hive-docker-metastore-1,0.00%,62.45MiB / 23.47GiB,0.26%,3.15MB / 3.28MB,0B / 0B,27
2025-03-12 00:39:08,ALL,All Containers,1.98%,6.81GiB / 23.47GiB,29.00%,1.51GB / 1.51GB,0B / 0B,1030
