TimeStamp,Container,Name,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
2025-03-12 00:32:16,7941f509fee6,hdfs-spark-hive-docker-history-1,0.23%,1023MiB / 23.47GiB,4.26%,16.7MB / 1.24MB,0B / 0B,100
2025-03-12 00:32:16,ec0defcd48e4,hdfs-spark-hive-docker-worker1-1,0.63%,1.81GiB / 23.47GiB,7.71%,698MB / 374MB,0B / 0B,242
2025-03-12 00:32:16,13bff8c591b1,hdfs-spark-hive-docker-worker2-1,0.55%,1.831GiB / 23.47GiB,7.80%,700MB / 426MB,0B / 0B,244
2025-03-12 00:32:16,a3d3766552e1,hdfs-spark-hive-docker-master-1,1.24%,2.088GiB / 23.47GiB,8.90%,33.6MB / 647MB,0B / 0B,391
2025-03-12 00:32:16,51fe5cb98b94,hdfs-spark-hive-docker-metastore-1,0.00%,61.73MiB / 23.47GiB,0.26%,3.13MB / 3.26MB,0B / 0B,27
2025-03-12 00:32:16,ALL,All Containers,2.65%,6.79GiB / 23.47GiB,28.92%,1.45GB / 1.45GB,0B / 0B,1004
2025-03-12 00:32:27,7941f509fee6,hdfs-spark-hive-docker-history-1,0.14%,1023MiB / 23.47GiB,4.26%,16.7MB / 1.24MB,0B / 0B,100
2025-03-12 00:32:27,ec0defcd48e4,hdfs-spark-hive-docker-worker1-1,0.36%,1.814GiB / 23.47GiB,7.73%,698MB / 374MB,0B / 0B,241
2025-03-12 00:32:27,13bff8c591b1,hdfs-spark-hive-docker-worker2-1,0.40%,1.831GiB / 23.47GiB,7.80%,702MB / 427MB,0B / 0B,243
2025-03-12 00:32:27,a3d3766552e1,hdfs-spark-hive-docker-master-1,12.48%,2.453GiB / 23.47GiB,10.45%,33.6MB / 649MB,0B / 0B,471
2025-03-12 00:32:27,51fe5cb98b94,hdfs-spark-hive-docker-metastore-1,0.01%,61.73MiB / 23.47GiB,0.26%,3.13MB / 3.26MB,0B / 0B,27
2025-03-12 00:32:27,ALL,All Containers,13.39%,7.16GiB / 23.47GiB,30.50%,1.45GB / 1.45GB,0B / 0B,1082
2025-03-12 00:32:38,7941f509fee6,hdfs-spark-hive-docker-history-1,5.98%,1023MiB / 23.47GiB,4.26%,16.8MB / 1.25MB,0B / 0B,100
2025-03-12 00:32:38,ec0defcd48e4,hdfs-spark-hive-docker-worker1-1,1.21%,2.414GiB / 23.47GiB,10.28%,701MB / 377MB,0B / 0B,327
2025-03-12 00:32:38,13bff8c591b1,hdfs-spark-hive-docker-worker2-1,273.83%,2.166GiB / 23.47GiB,9.23%,703MB / 427MB,0B / 0B,288
2025-03-12 00:32:38,a3d3766552e1,hdfs-spark-hive-docker-master-1,192.31%,2.719GiB / 23.47GiB,11.58%,33.7MB / 650MB,0B / 0B,498
2025-03-12 00:32:38,51fe5cb98b94,hdfs-spark-hive-docker-metastore-1,0.01%,61.73MiB / 23.47GiB,0.26%,3.13MB / 3.26MB,0B / 0B,27
2025-03-12 00:32:38,ALL,All Containers,473.34%,8.36GiB / 23.47GiB,35.61%,1.46GB / 1.46GB,0B / 0B,1240
2025-03-12 00:32:48,7941f509fee6,hdfs-spark-hive-docker-history-1,0.20%,1023MiB / 23.47GiB,4.26%,17.3MB / 1.25MB,0B / 0B,100
2025-03-12 00:32:48,ec0defcd48e4,hdfs-spark-hive-docker-worker1-1,0.62%,1.817GiB / 23.47GiB,7.74%,702MB / 377MB,0B / 0B,245
2025-03-12 00:32:48,13bff8c591b1,hdfs-spark-hive-docker-worker2-1,0.61%,1.832GiB / 23.47GiB,7.81%,703MB / 428MB,0B / 0B,245
2025-03-12 00:32:48,a3d3766552e1,hdfs-spark-hive-docker-master-1,1.11%,2.089GiB / 23.47GiB,8.90%,33.7MB / 650MB,0B / 0B,395
2025-03-12 00:32:48,51fe5cb98b94,hdfs-spark-hive-docker-metastore-1,0.00%,61.73MiB / 23.47GiB,0.26%,3.13MB / 3.26MB,0B / 0B,27
2025-03-12 00:32:48,ALL,All Containers,2.54%,6.80GiB / 23.47GiB,28.96%,1.46GB / 1.46GB,0B / 0B,1012
